,r,rmse,kge
GW_st,0.8259702308396674,0.2502295115607325,0.7491277029135703
withdrawal,0.9303904372921397,305.16394324614106,0.7478962352789889
rainfed,-0.6898206139412939,0.036567786070257534,-0.7171911155399866
corn,0.8819586423868393,0.036585529782780284,0.7170686620169482
others,0.8819586423868394,0.0365855297827803,0.7165688588561083
