year,GW_st,withdrawal,rainfed,irrigated,corn,others,corn_yield,others_yield,corn_irr_vol,others_irr_vol,total_irr_vol,total_irr_depth,Imitation,Social comparison,Repetition,Deliberation,total_profit,corn_profit,others_profit,profit_irr_depth,total_energy,energy_irr_depth
2012,18.77291707,4139.303756,0.435962106,0.564037894,0.670254666,0.329745334,400.9331718,0.326230147,32.20626036,43.51538242,42.51226374,8502.452734,0,69,220.2,46.8,3065.514133,2486.747511,323.3071109,0.396599152,0.033865777,4.38E-06
2013,18.14907351,2409.309802,0.459687935,0.540312065,0.519002507,0.480997493,492.2050778,0.477482306,23.79876068,18.80235599,31.98553428,5864.014632,71.5,1,260.2,3.3,2435.397349,1864.381076,726.3813627,0.415312291,0.025731984,4.42E-06
2014,18.20601388,2468.305178,0.409270548,0.590729452,0.545694065,0.454305935,508.3991482,0.450790749,27.51791647,20.75672573,23.3902289,5145.85038,29,0,307,0,1800.675983,1533.835366,626.9758144,0.42341261,0.022653936,4.04E-06
2015,18.00740911,2037.047133,0.418167734,0.581832266,0.498242407,0.501757593,503.7013206,0.498242407,27.69287015,15.36878624,22.96200489,5051.641063,162,1,124,49,1717.283742,1233.850815,439.4844792,0.40793486,0.022320624,4.05E-06
2016,18.13247194,2291.119267,0.421133463,0.578866537,0.625768737,0.374231263,502.3663202,0.370716076,30.82749572,18.5170345,29.74853332,4958.088894,113,49.5,163.6,9.9,1339.885229,1047.107586,380.0366089,0.270242276,0.022129844,4.46E-06
2017,17.83625762,1768.920482,0.441893563,0.558106437,0.652460295,0.347539705,504.6096278,0.344024519,25.24473306,16.60815771,19.3219302,3864.386061,147.6,27.5,145.3,15.6,1519.478619,1246.343565,425.0829162,0.393200523,0.01574342,4.07E-06
2018,17.79773498,1965.329937,0.379613262,0.620386738,0.64059738,0.35940262,502.7688091,0.355887433,33.66380443,19.4910477,26.34840122,4790.618322,40,0,296,0,2193.661256,1913.646844,479.4381618,0.499535727,0.021428363,4.07E-06
2019,17.63338573,1306.06769,0.432996377,0.567003623,0.696946224,0.303053776,502.2642873,0.29953859,16.11834791,10.60264241,16.96822445,2828.037406,180,1.2,147.8,7,1915.146853,1614.035929,301.1109237,0.677199972,0.01152452,4.48E-06
2020,18.12016529,2767.530425,0.394441905,0.605558095,0.717706324,0.282293676,498.6867407,0.278778489,29.93530519,31.00466505,32.33012975,5388.354935,166.8,57.2,112,0,1440.53435,1042.646011,266.9306704,0.267342142,0.02634264,4.07E-06
