init_water,smt1,smt2,smt3,maxirr,p_up2,p_up3,ccx,cdc,rtx,hi,wp,polmx,polfin,kc,hipsveg,eme,histart,mat,flowering,maxrooting,senescence,yldform,max_irrseason,crop_name,irrig_method
,,,,,,,,,,,,,,,,,,,,,,,319.98660994443213,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.9389438642885,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.0383370053985,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.05677010284194,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.08734626557066,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.11790801935115,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,320.0454597641439,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.9545399908259,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.94529687557804,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.9440388896944,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.0344646311297,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.0743095607647,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.105211640818,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,320.0594767723733,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,320.0960044023823,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.96155257907435,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.95426590953826,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.05518312438414,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.03219726007944,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.0464151478319,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.0617399890962,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.06216836483367,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,319.11723036625034,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,320.0458151390018,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,320.0802012737185,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,317.5102738536752,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,316.0058649491656,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,316.00703265853883,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,316.00853552711044,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.9661705022256,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.1113596256825,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.1459413772647,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,317.6461612202812,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,317.6272312142808,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,317.6171869416023,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,316.0128710465316,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.92857142857144,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.92337794337084,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.9505140725767,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.09581771172657,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.13074612864807,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,309.5407522194532,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.2041875884203,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.1656365825459,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,317.6337388422447,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,317.6173820531151,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,317.6106983335748,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.92900652733863,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.93400298843744,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.94126193734894,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.9786506441766,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.0813900856165,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.11670128206526,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,309.7064118630875,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,309.4593766524625,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.1516915642952,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,317.6228104761369,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.91202146669303,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.92959709257525,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.93299005760485,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.989692495629,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,316.00894927239085,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.1001729610673,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,309.7464677012323,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,309.3843302576835,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.31117789363685,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.27238334251285,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,315.1719809444689,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.531716500066,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.4957512967127,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,313.3768392462926,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.58719952228057,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.6040674079824,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.6039454195146,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.6079698122924,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,312.6163495246501,corn,1.0
,,,,,,,,,,,,,,,,,,,,,,,310.9724253706107,corn,1.0
