,Unnamed: 0,Crop,smt1,smt2,smt3,maxirr,maxirr_season,p_up2,p_up3,ccx,cdc,rtx,hi,wp,polmx,polfin,eme,histart,mat,flowering,maxrooting,senescence,yldform,init_water,irrig_method,hipsveg,kc
0,0,Sorghum,41.65516627286327,5.862250301523057,3.0828970859261275,6.5,450,0.55,0.85,0.6,0.009862,1.926290362691636,0.4864771575298312,30.567428328498657,40,45,187.4380058954181,939.6021867300764,1645.029948084542,286.0108887010624,1479.5922771692217,1475.8535727417568,672.03212083681,SAT,1,1.0,
0,0,Maize,54.60277604,49.45779775,31.79093184,6.5,600,0.45,0.6,0.868564361,1.31,1.825492191,0.479251445,35.0,33,38,122.18451004971028,904.2218897571156,1735.7908167256971,183.7896158886032,1438.6642710391218,1429.4747902446916,765.7900662025135,FC,1,0.5,1.1
