Crop,smt1,smt2,smt3,maxirr,maxirr_season,p_up2,p_up3,ccx,cdc,rtx,hi,wp,polmx,polfin
Maize,65,45,25,6.5,600,0.45,0.6,0.94,1.31,1.5,0.45,30,33,38
Sorghum,60,40,20,6.5,450,0.55,0.85,0.8,0.009862,1.8,0.46,33.7,40,45
