,Year,County,crop Name,crop Type,all_yield,Irrig_status
1015,2007,Logan,Sorghum,SorghumGDD,114.7,Irrigated
1016,2008,Logan,Sorghum,SorghumGDD,90.8,Irrigated
1017,2009,Logan,Sorghum,SorghumGDD,108.7,Irrigated
1018,2010,Logan,Sorghum,SorghumGDD,108.9,Irrigated
1019,2011,Logan,Sorghum,SorghumGDD,101.6,Irrigated
1020,2012,Logan,Sorghum,SorghumGDD,69.6,Irrigated
1021,2013,Logan,Sorghum,SorghumGDD,96.7,Irrigated
1022,2014,Logan,Sorghum,SorghumGDD,101.5,Irrigated
1023,2015,Logan,Sorghum,SorghumGDD,111.3,Irrigated
1024,2016,Logan,Sorghum,SorghumGDD,108.9,Irrigated
1025,2017,Logan,Sorghum,SorghumGDD,106.4,Irrigated
1026,2018,Logan,Sorghum,SorghumGDD,86,Irrigated
1027,2019,Logan,Sorghum,SorghumGDD,121.4,Irrigated
1028,2020,Logan,Sorghum,SorghumGDD,101.8,Irrigated
1029,2000,Logan,Sorghum,SorghumGDD,40.7,Non-Irrigated
1030,2001,Logan,Sorghum,SorghumGDD,61.2,Non-Irrigated
1032,2003,Logan,Sorghum,SorghumGDD,24.1,Non-Irrigated
1034,2005,Logan,Sorghum,SorghumGDD,67.8,Non-Irrigated
1035,2006,Logan,Sorghum,SorghumGDD,46.4,Non-Irrigated
1036,2007,Logan,Sorghum,SorghumGDD,77.8,Non-Irrigated
1037,2008,Logan,Sorghum,SorghumGDD,54.5,Non-Irrigated
1038,2009,Logan,Sorghum,SorghumGDD,75.9,Non-Irrigated
1039,2010,Logan,Sorghum,SorghumGDD,81,Non-Irrigated
1040,2011,Logan,Sorghum,SorghumGDD,60,Non-Irrigated
1041,2012,Logan,Sorghum,SorghumGDD,37.3,Non-Irrigated
1042,2013,Logan,Sorghum,SorghumGDD,39.8,Non-Irrigated
1043,2014,Logan,Sorghum,SorghumGDD,67.5,Non-Irrigated
1044,2015,Logan,Sorghum,SorghumGDD,82.4,Non-Irrigated
1045,2016,Logan,Sorghum,SorghumGDD,91.8,Non-Irrigated
1046,2017,Logan,Sorghum,SorghumGDD,81.5,Non-Irrigated
1047,2018,Logan,Sorghum,SorghumGDD,75.5,Non-Irrigated
1048,2019,Logan,Sorghum,SorghumGDD,90.5,Non-Irrigated
1049,2020,Logan,Sorghum,SorghumGDD,65.5,Non-Irrigated
1051,2001,Rawlins,Sorghum,SorghumGDD,90.9,Irrigated
1055,2005,Rawlins,Sorghum,SorghumGDD,105.1,Irrigated
1056,2006,Rawlins,Sorghum,SorghumGDD,83.4,Irrigated
1058,2008,Rawlins,Sorghum,SorghumGDD,101,Irrigated
1059,2009,Rawlins,Sorghum,SorghumGDD,94.3,Irrigated
1060,2010,Rawlins,Sorghum,SorghumGDD,116,Irrigated
1061,2011,Rawlins,Sorghum,SorghumGDD,67.1,Irrigated
1062,2012,Rawlins,Sorghum,SorghumGDD,79.8,Irrigated
1063,2013,Rawlins,Sorghum,SorghumGDD,96.7,Irrigated
1064,2014,Rawlins,Sorghum,SorghumGDD,101.4,Irrigated
1065,2015,Rawlins,Sorghum,SorghumGDD,102.3,Irrigated
1066,2016,Rawlins,Sorghum,SorghumGDD,102,Irrigated
1067,2017,Rawlins,Sorghum,SorghumGDD,111,Irrigated
1068,2018,Rawlins,Sorghum,SorghumGDD,96.6,Irrigated
1069,2019,Rawlins,Sorghum,SorghumGDD,123.4,Irrigated
1070,2020,Rawlins,Sorghum,SorghumGDD,106.3,Irrigated
1072,2001,Rawlins,Sorghum,SorghumGDD,59,Non-Irrigated
1076,2005,Rawlins,Sorghum,SorghumGDD,54.9,Non-Irrigated
1079,2008,Rawlins,Sorghum,SorghumGDD,77.6,Non-Irrigated
1080,2009,Rawlins,Sorghum,SorghumGDD,48.7,Non-Irrigated
1081,2010,Rawlins,Sorghum,SorghumGDD,92.9,Non-Irrigated
1082,2011,Rawlins,Sorghum,SorghumGDD,78.7,Non-Irrigated
1083,2012,Rawlins,Sorghum,SorghumGDD,20.2,Non-Irrigated
1084,2013,Rawlins,Sorghum,SorghumGDD,21.1,Non-Irrigated
1085,2014,Rawlins,Sorghum,SorghumGDD,63.5,Non-Irrigated
1086,2015,Rawlins,Sorghum,SorghumGDD,71.4,Non-Irrigated
1087,2016,Rawlins,Sorghum,SorghumGDD,78.4,Non-Irrigated
1088,2017,Rawlins,Sorghum,SorghumGDD,86,Non-Irrigated
1089,2018,Rawlins,Sorghum,SorghumGDD,89.6,Non-Irrigated
1090,2019,Rawlins,Sorghum,SorghumGDD,81.9,Non-Irrigated
1091,2020,Rawlins,Sorghum,SorghumGDD,60.9,Non-Irrigated
1092,2000,Sheridan,Sorghum,SorghumGDD,51.2,Non-Irrigated
1094,2002,Sheridan,Sorghum,SorghumGDD,16.5,Non-Irrigated
1095,2003,Sheridan,Sorghum,SorghumGDD,7.3,Non-Irrigated
1096,2004,Sheridan,Sorghum,SorghumGDD,35.8,Non-Irrigated
1097,2005,Sheridan,Sorghum,SorghumGDD,68.5,Non-Irrigated
1100,2008,Sheridan,Sorghum,SorghumGDD,84.1,Non-Irrigated
1101,2009,Sheridan,Sorghum,SorghumGDD,89.9,Non-Irrigated
1102,2010,Sheridan,Sorghum,SorghumGDD,80.9,Non-Irrigated
1103,2011,Sheridan,Sorghum,SorghumGDD,70.7,Non-Irrigated
1104,2012,Sheridan,Sorghum,SorghumGDD,44.4,Non-Irrigated
1105,2013,Sheridan,Sorghum,SorghumGDD,39.3,Non-Irrigated
1106,2014,Sheridan,Sorghum,SorghumGDD,44.4,Non-Irrigated
1107,2015,Sheridan,Sorghum,SorghumGDD,57.2,Non-Irrigated
1108,2016,Sheridan,Sorghum,SorghumGDD,90.4,Non-Irrigated
1109,2017,Sheridan,Sorghum,SorghumGDD,75.4,Non-Irrigated
1110,2018,Sheridan,Sorghum,SorghumGDD,96,Non-Irrigated
1111,2019,Sheridan,Sorghum,SorghumGDD,77.4,Non-Irrigated
1112,2020,Sheridan,Sorghum,SorghumGDD,88.6,Non-Irrigated
1113,2000,Sheridan,Sorghum,SorghumGDD,51.2,Non-Irrigated
1115,2002,Sheridan,Sorghum,SorghumGDD,16.5,Non-Irrigated
1116,2003,Sheridan,Sorghum,SorghumGDD,7.3,Non-Irrigated
1117,2004,Sheridan,Sorghum,SorghumGDD,35.8,Non-Irrigated
1118,2005,Sheridan,Sorghum,SorghumGDD,68.5,Non-Irrigated
1121,2008,Sheridan,Sorghum,SorghumGDD,84.1,Non-Irrigated
1122,2009,Sheridan,Sorghum,SorghumGDD,89.9,Non-Irrigated
1123,2010,Sheridan,Sorghum,SorghumGDD,80.9,Non-Irrigated
1124,2011,Sheridan,Sorghum,SorghumGDD,70.7,Non-Irrigated
1125,2012,Sheridan,Sorghum,SorghumGDD,44.4,Non-Irrigated
1126,2013,Sheridan,Sorghum,SorghumGDD,39.3,Non-Irrigated
1127,2014,Sheridan,Sorghum,SorghumGDD,44.4,Non-Irrigated
1128,2015,Sheridan,Sorghum,SorghumGDD,57.2,Non-Irrigated
1129,2016,Sheridan,Sorghum,SorghumGDD,90.4,Non-Irrigated
1130,2017,Sheridan,Sorghum,SorghumGDD,75.4,Non-Irrigated
1131,2018,Sheridan,Sorghum,SorghumGDD,96,Non-Irrigated
1132,2019,Sheridan,Sorghum,SorghumGDD,77.4,Non-Irrigated
1133,2020,Sheridan,Sorghum,SorghumGDD,88.6,Non-Irrigated
1135,2001,Sherman,Sorghum,SorghumGDD,87,Irrigated
1136,2002,Sherman,Sorghum,SorghumGDD,36.3,Irrigated
1138,2004,Sherman,Sorghum,SorghumGDD,80.1,Irrigated
1142,2008,Sherman,Sorghum,SorghumGDD,102.2,Irrigated
1143,2009,Sherman,Sorghum,SorghumGDD,85.9,Irrigated
1144,2010,Sherman,Sorghum,SorghumGDD,117.2,Irrigated
1145,2011,Sherman,Sorghum,SorghumGDD,91.5,Irrigated
1146,2012,Sherman,Sorghum,SorghumGDD,55,Irrigated
1147,2013,Sherman,Sorghum,SorghumGDD,97.1,Irrigated
1148,2014,Sherman,Sorghum,SorghumGDD,103,Irrigated
1149,2015,Sherman,Sorghum,SorghumGDD,104.4,Irrigated
1150,2016,Sherman,Sorghum,SorghumGDD,96.5,Irrigated
1151,2017,Sherman,Sorghum,SorghumGDD,94.6,Irrigated
1152,2018,Sherman,Sorghum,SorghumGDD,77.2,Irrigated
1153,2019,Sherman,Sorghum,SorghumGDD,114.9,Irrigated
1154,2020,Sherman,Sorghum,SorghumGDD,103.8,Irrigated
1157,2002,Sherman,Sorghum,SorghumGDD,1.5,Non-Irrigated
1160,2005,Sherman,Sorghum,SorghumGDD,33,Non-Irrigated
1162,2007,Sherman,Sorghum,SorghumGDD,69.9,Non-Irrigated
1163,2008,Sherman,Sorghum,SorghumGDD,41.7,Non-Irrigated
1164,2009,Sherman,Sorghum,SorghumGDD,62.2,Non-Irrigated
1165,2010,Sherman,Sorghum,SorghumGDD,88.4,Non-Irrigated
1166,2011,Sherman,Sorghum,SorghumGDD,76.1,Non-Irrigated
1167,2012,Sherman,Sorghum,SorghumGDD,23.7,Non-Irrigated
1168,2013,Sherman,Sorghum,SorghumGDD,13.5,Non-Irrigated
1169,2014,Sherman,Sorghum,SorghumGDD,56.6,Non-Irrigated
1170,2015,Sherman,Sorghum,SorghumGDD,77.2,Non-Irrigated
1171,2016,Sherman,Sorghum,SorghumGDD,71.5,Non-Irrigated
1172,2017,Sherman,Sorghum,SorghumGDD,69.7,Non-Irrigated
1173,2018,Sherman,Sorghum,SorghumGDD,67.4,Non-Irrigated
1174,2019,Sherman,Sorghum,SorghumGDD,88,Non-Irrigated
1175,2020,Sherman,Sorghum,SorghumGDD,66.1,Non-Irrigated
1176,2000,Thomas,Sorghum,SorghumGDD,66.9,Irrigated
1178,2002,Thomas,Sorghum,SorghumGDD,42.7,Irrigated
1179,2003,Thomas,Sorghum,SorghumGDD,83.2,Irrigated
1181,2005,Thomas,Sorghum,SorghumGDD,108.1,Irrigated
1182,2006,Thomas,Sorghum,SorghumGDD,82.9,Irrigated
1184,2008,Thomas,Sorghum,SorghumGDD,100.1,Irrigated
1185,2009,Thomas,Sorghum,SorghumGDD,97.9,Irrigated
1186,2010,Thomas,Sorghum,SorghumGDD,92.9,Irrigated
1187,2011,Thomas,Sorghum,SorghumGDD,98.1,Irrigated
1188,2012,Thomas,Sorghum,SorghumGDD,84.1,Irrigated
1189,2013,Thomas,Sorghum,SorghumGDD,105.2,Irrigated
1190,2014,Thomas,Sorghum,SorghumGDD,119,Irrigated
1191,2015,Thomas,Sorghum,SorghumGDD,109.8,Irrigated
1192,2016,Thomas,Sorghum,SorghumGDD,104.8,Irrigated
1193,2017,Thomas,Sorghum,SorghumGDD,104.1,Irrigated
1194,2018,Thomas,Sorghum,SorghumGDD,99.4,Irrigated
1195,2019,Thomas,Sorghum,SorghumGDD,117.6,Irrigated
1196,2020,Thomas,Sorghum,SorghumGDD,115.7,Irrigated
1198,2001,Thomas,Sorghum,SorghumGDD,67.4,Non-Irrigated
1199,2002,Thomas,Sorghum,SorghumGDD,8.4,Non-Irrigated
1202,2005,Thomas,Sorghum,SorghumGDD,62.5,Non-Irrigated
1205,2008,Thomas,Sorghum,SorghumGDD,66.5,Non-Irrigated
1206,2009,Thomas,Sorghum,SorghumGDD,70.4,Non-Irrigated
1207,2010,Thomas,Sorghum,SorghumGDD,87.8,Non-Irrigated
1208,2011,Thomas,Sorghum,SorghumGDD,67.5,Non-Irrigated
1209,2012,Thomas,Sorghum,SorghumGDD,20.9,Non-Irrigated
1210,2013,Thomas,Sorghum,SorghumGDD,22.1,Non-Irrigated
1211,2014,Thomas,Sorghum,SorghumGDD,72.6,Non-Irrigated
1212,2015,Thomas,Sorghum,SorghumGDD,70.1,Non-Irrigated
1213,2016,Thomas,Sorghum,SorghumGDD,83.5,Non-Irrigated
1214,2017,Thomas,Sorghum,SorghumGDD,81.4,Non-Irrigated
1215,2018,Thomas,Sorghum,SorghumGDD,79.5,Non-Irrigated
1216,2019,Thomas,Sorghum,SorghumGDD,85.5,Non-Irrigated
1217,2020,Thomas,Sorghum,SorghumGDD,67.5,Non-Irrigated
1222,2004,Wallace,Sorghum,SorghumGDD,27.1,Non-Irrigated
1225,2007,Wallace,Sorghum,SorghumGDD,65.2,Non-Irrigated
1226,2008,Wallace,Sorghum,SorghumGDD,44.3,Non-Irrigated
1227,2009,Wallace,Sorghum,SorghumGDD,58.4,Non-Irrigated
1228,2010,Wallace,Sorghum,SorghumGDD,74,Non-Irrigated
1229,2011,Wallace,Sorghum,SorghumGDD,48,Non-Irrigated
1230,2012,Wallace,Sorghum,SorghumGDD,17.3,Non-Irrigated
1231,2013,Wallace,Sorghum,SorghumGDD,30.3,Non-Irrigated
1232,2014,Wallace,Sorghum,SorghumGDD,42.5,Non-Irrigated
1233,2015,Wallace,Sorghum,SorghumGDD,72.5,Non-Irrigated
1234,2016,Wallace,Sorghum,SorghumGDD,80.6,Non-Irrigated
1235,2017,Wallace,Sorghum,SorghumGDD,73.9,Non-Irrigated
1236,2018,Wallace,Sorghum,SorghumGDD,67,Non-Irrigated
1237,2019,Wallace,Sorghum,SorghumGDD,83.4,Non-Irrigated
1238,2020,Wallace,Sorghum,SorghumGDD,34.3,Non-Irrigated
1243,2004,Wallace,Sorghum,SorghumGDD,27.1,Non-Irrigated
1246,2007,Wallace,Sorghum,SorghumGDD,65.2,Non-Irrigated
1247,2008,Wallace,Sorghum,SorghumGDD,44.3,Non-Irrigated
1248,2009,Wallace,Sorghum,SorghumGDD,58.4,Non-Irrigated
1249,2010,Wallace,Sorghum,SorghumGDD,74,Non-Irrigated
1250,2011,Wallace,Sorghum,SorghumGDD,48,Non-Irrigated
1251,2012,Wallace,Sorghum,SorghumGDD,17.3,Non-Irrigated
1252,2013,Wallace,Sorghum,SorghumGDD,30.3,Non-Irrigated
1253,2014,Wallace,Sorghum,SorghumGDD,42.5,Non-Irrigated
1254,2015,Wallace,Sorghum,SorghumGDD,72.5,Non-Irrigated
1255,2016,Wallace,Sorghum,SorghumGDD,80.6,Non-Irrigated
1256,2017,Wallace,Sorghum,SorghumGDD,73.9,Non-Irrigated
1257,2018,Wallace,Sorghum,SorghumGDD,67,Non-Irrigated
1258,2019,Wallace,Sorghum,SorghumGDD,83.4,Non-Irrigated
1259,2020,Wallace,Sorghum,SorghumGDD,34.3,Non-Irrigated
1260,2000,Cheyenne,Soybean,SoybeanGDD,37.1,Irrigated
1262,2002,Cheyenne,Soybean,SoybeanGDD,37.6,Irrigated
1263,2003,Cheyenne,Soybean,SoybeanGDD,51.2,Irrigated
1265,2005,Cheyenne,Soybean,SoybeanGDD,54.1,Irrigated
1266,2006,Cheyenne,Soybean,SoybeanGDD,56,Irrigated
1267,2007,Cheyenne,Soybean,SoybeanGDD,67.7,Irrigated
1268,2008,Cheyenne,Soybean,SoybeanGDD,53.4,Irrigated
1269,2009,Cheyenne,Soybean,SoybeanGDD,58.2,Irrigated
1270,2010,Cheyenne,Soybean,SoybeanGDD,59.8,Irrigated
1271,2011,Cheyenne,Soybean,SoybeanGDD,58.1,Irrigated
1272,2012,Cheyenne,Soybean,SoybeanGDD,55.2,Irrigated
1273,2013,Cheyenne,Soybean,SoybeanGDD,50.7,Irrigated
1274,2014,Cheyenne,Soybean,SoybeanGDD,51.4,Irrigated
1275,2015,Cheyenne,Soybean,SoybeanGDD,64.3,Irrigated
1276,2016,Cheyenne,Soybean,SoybeanGDD,61.2,Irrigated
1277,2017,Cheyenne,Soybean,SoybeanGDD,55.4,Irrigated
1278,2018,Cheyenne,Soybean,SoybeanGDD,44.4,Irrigated
1279,2019,Cheyenne,Soybean,SoybeanGDD,59.4,Irrigated
1280,2020,Cheyenne,Soybean,SoybeanGDD,55.5,Irrigated
1281,2000,Cheyenne,Soybean,SoybeanGDD,7.2,Non-Irrigated
1283,2002,Cheyenne,Soybean,SoybeanGDD,1.9,Non-Irrigated
1286,2005,Cheyenne,Soybean,SoybeanGDD,19,Non-Irrigated
1287,2006,Cheyenne,Soybean,SoybeanGDD,10.4,Non-Irrigated
1288,2007,Cheyenne,Soybean,SoybeanGDD,25.9,Non-Irrigated
1289,2008,Cheyenne,Soybean,SoybeanGDD,18.1,Non-Irrigated
1290,2009,Cheyenne,Soybean,SoybeanGDD,28.9,Non-Irrigated
1291,2010,Cheyenne,Soybean,SoybeanGDD,27.5,Non-Irrigated
1292,2011,Cheyenne,Soybean,SoybeanGDD,19.8,Non-Irrigated
1293,2012,Cheyenne,Soybean,SoybeanGDD,5.4,Non-Irrigated
1294,2013,Cheyenne,Soybean,SoybeanGDD,4.8,Non-Irrigated
1295,2014,Cheyenne,Soybean,SoybeanGDD,21.3,Non-Irrigated
1296,2015,Cheyenne,Soybean,SoybeanGDD,21.2,Non-Irrigated
1297,2016,Cheyenne,Soybean,SoybeanGDD,32.2,Non-Irrigated
1298,2017,Cheyenne,Soybean,SoybeanGDD,26,Non-Irrigated
1299,2018,Cheyenne,Soybean,SoybeanGDD,36.8,Non-Irrigated
1300,2019,Cheyenne,Soybean,SoybeanGDD,39.4,Non-Irrigated
1301,2020,Cheyenne,Soybean,SoybeanGDD,19.2,Non-Irrigated
1302,2000,Decatur,Soybean,SoybeanGDD,26.6,Irrigated
1303,2001,Decatur,Soybean,SoybeanGDD,47.7,Irrigated
1304,2002,Decatur,Soybean,SoybeanGDD,41.5,Irrigated
1305,2003,Decatur,Soybean,SoybeanGDD,45.1,Irrigated
1306,2004,Decatur,Soybean,SoybeanGDD,46.6,Irrigated
1308,2006,Decatur,Soybean,SoybeanGDD,55.6,Irrigated
1309,2007,Decatur,Soybean,SoybeanGDD,54.7,Irrigated
1310,2008,Decatur,Soybean,SoybeanGDD,53.3,Irrigated
1311,2009,Decatur,Soybean,SoybeanGDD,62.8,Irrigated
1312,2010,Decatur,Soybean,SoybeanGDD,62.6,Irrigated
1313,2011,Decatur,Soybean,SoybeanGDD,50.9,Irrigated
1314,2012,Decatur,Soybean,SoybeanGDD,48.4,Irrigated
1315,2013,Decatur,Soybean,SoybeanGDD,47,Irrigated
1316,2014,Decatur,Soybean,SoybeanGDD,61.7,Irrigated
1317,2015,Decatur,Soybean,SoybeanGDD,65.1,Irrigated
1318,2016,Decatur,Soybean,SoybeanGDD,60.6,Irrigated
1319,2017,Decatur,Soybean,SoybeanGDD,62.8,Irrigated
1320,2018,Decatur,Soybean,SoybeanGDD,67.3,Irrigated
1321,2019,Decatur,Soybean,SoybeanGDD,61.4,Irrigated
1322,2020,Decatur,Soybean,SoybeanGDD,44.8,Irrigated
1323,2000,Decatur,Soybean,SoybeanGDD,3.6,Non-Irrigated
1325,2002,Decatur,Soybean,SoybeanGDD,1.9,Non-Irrigated
1326,2003,Decatur,Soybean,SoybeanGDD,6.3,Non-Irrigated
1327,2004,Decatur,Soybean,SoybeanGDD,4.4,Non-Irrigated
1329,2006,Decatur,Soybean,SoybeanGDD,14.8,Non-Irrigated
1330,2007,Decatur,Soybean,SoybeanGDD,21,Non-Irrigated
1331,2008,Decatur,Soybean,SoybeanGDD,24.8,Non-Irrigated
1332,2009,Decatur,Soybean,SoybeanGDD,40.6,Non-Irrigated
1333,2010,Decatur,Soybean,SoybeanGDD,26.7,Non-Irrigated
1334,2011,Decatur,Soybean,SoybeanGDD,35.1,Non-Irrigated
1335,2012,Decatur,Soybean,SoybeanGDD,12.4,Non-Irrigated
1336,2013,Decatur,Soybean,SoybeanGDD,6.4,Non-Irrigated
1337,2014,Decatur,Soybean,SoybeanGDD,19.6,Non-Irrigated
1338,2015,Decatur,Soybean,SoybeanGDD,22.6,Non-Irrigated
1339,2016,Decatur,Soybean,SoybeanGDD,33.3,Non-Irrigated
1340,2017,Decatur,Soybean,SoybeanGDD,35.9,Non-Irrigated
1341,2018,Decatur,Soybean,SoybeanGDD,47.6,Non-Irrigated
1342,2019,Decatur,Soybean,SoybeanGDD,43.3,Non-Irrigated
1343,2020,Decatur,Soybean,SoybeanGDD,24.6,Non-Irrigated
1344,2000,Gove,Soybean,SoybeanGDD,48.4,Irrigated
1346,2002,Gove,Soybean,SoybeanGDD,41.1,Irrigated
1347,2003,Gove,Soybean,SoybeanGDD,50,Irrigated
1349,2005,Gove,Soybean,SoybeanGDD,59.5,Irrigated
1351,2007,Gove,Soybean,SoybeanGDD,63.3,Irrigated
1352,2008,Gove,Soybean,SoybeanGDD,57.6,Irrigated
1353,2009,Gove,Soybean,SoybeanGDD,67.5,Irrigated
1354,2010,Gove,Soybean,SoybeanGDD,60.1,Irrigated
1355,2011,Gove,Soybean,SoybeanGDD,56.2,Irrigated
1356,2012,Gove,Soybean,SoybeanGDD,54,Irrigated
1357,2013,Gove,Soybean,SoybeanGDD,55,Irrigated
1358,2014,Gove,Soybean,SoybeanGDD,62.3,Irrigated
1359,2015,Gove,Soybean,SoybeanGDD,61.6,Irrigated
1360,2016,Gove,Soybean,SoybeanGDD,61.1,Irrigated
1361,2017,Gove,Soybean,SoybeanGDD,61.3,Irrigated
1362,2018,Gove,Soybean,SoybeanGDD,66.8,Irrigated
1363,2019,Gove,Soybean,SoybeanGDD,66.3,Irrigated
1364,2020,Gove,Soybean,SoybeanGDD,63.4,Irrigated
1365,2000,Gove,Soybean,SoybeanGDD,10.4,Non-Irrigated
1367,2002,Gove,Soybean,SoybeanGDD,2,Non-Irrigated
1369,2004,Gove,Soybean,SoybeanGDD,9,Non-Irrigated
1370,2005,Gove,Soybean,SoybeanGDD,17.3,Non-Irrigated
1372,2007,Gove,Soybean,SoybeanGDD,21.3,Non-Irrigated
1373,2008,Gove,Soybean,SoybeanGDD,24.2,Non-Irrigated
1374,2009,Gove,Soybean,SoybeanGDD,31.1,Non-Irrigated
1375,2010,Gove,Soybean,SoybeanGDD,17.1,Non-Irrigated
1376,2011,Gove,Soybean,SoybeanGDD,13.1,Non-Irrigated
1377,2012,Gove,Soybean,SoybeanGDD,5.9,Non-Irrigated
1378,2013,Gove,Soybean,SoybeanGDD,8.5,Non-Irrigated
1379,2014,Gove,Soybean,SoybeanGDD,25.3,Non-Irrigated
1380,2015,Gove,Soybean,SoybeanGDD,15.4,Non-Irrigated
1381,2016,Gove,Soybean,SoybeanGDD,32.4,Non-Irrigated
1382,2017,Gove,Soybean,SoybeanGDD,23.3,Non-Irrigated
1383,2018,Gove,Soybean,SoybeanGDD,37.6,Non-Irrigated
1384,2019,Gove,Soybean,SoybeanGDD,27.6,Non-Irrigated
1385,2020,Gove,Soybean,SoybeanGDD,28,Non-Irrigated
1386,2000,Graham,Soybean,SoybeanGDD,49.7,Irrigated
1387,2001,Graham,Soybean,SoybeanGDD,59.7,Irrigated
1388,2002,Graham,Soybean,SoybeanGDD,43.3,Irrigated
1389,2003,Graham,Soybean,SoybeanGDD,50.3,Irrigated
1390,2004,Graham,Soybean,SoybeanGDD,51.9,Irrigated
1392,2006,Graham,Soybean,SoybeanGDD,46.5,Irrigated
1394,2008,Graham,Soybean,SoybeanGDD,58.1,Irrigated
1395,2009,Graham,Soybean,SoybeanGDD,68.1,Irrigated
1396,2010,Graham,Soybean,SoybeanGDD,60.2,Irrigated
1397,2011,Graham,Soybean,SoybeanGDD,54.9,Irrigated
1398,2012,Graham,Soybean,SoybeanGDD,56.2,Irrigated
1399,2013,Graham,Soybean,SoybeanGDD,55.6,Irrigated
1400,2014,Graham,Soybean,SoybeanGDD,62.8,Irrigated
1401,2015,Graham,Soybean,SoybeanGDD,60.7,Irrigated
1402,2016,Graham,Soybean,SoybeanGDD,58.8,Irrigated
1403,2017,Graham,Soybean,SoybeanGDD,61.6,Irrigated
1404,2018,Graham,Soybean,SoybeanGDD,68.6,Irrigated
1405,2019,Graham,Soybean,SoybeanGDD,64.6,Irrigated
1406,2020,Graham,Soybean,SoybeanGDD,64.1,Irrigated
1407,2000,Graham,Soybean,SoybeanGDD,3.7,Non-Irrigated
1408,2001,Graham,Soybean,SoybeanGDD,20.7,Non-Irrigated
1409,2002,Graham,Soybean,SoybeanGDD,1.7,Non-Irrigated
1410,2003,Graham,Soybean,SoybeanGDD,4.5,Non-Irrigated
1411,2004,Graham,Soybean,SoybeanGDD,4.1,Non-Irrigated
1413,2006,Graham,Soybean,SoybeanGDD,13.3,Non-Irrigated
1414,2007,Graham,Soybean,SoybeanGDD,19.9,Non-Irrigated
1415,2008,Graham,Soybean,SoybeanGDD,28.3,Non-Irrigated
1416,2009,Graham,Soybean,SoybeanGDD,37.3,Non-Irrigated
1417,2010,Graham,Soybean,SoybeanGDD,22.8,Non-Irrigated
1418,2011,Graham,Soybean,SoybeanGDD,29.2,Non-Irrigated
1419,2012,Graham,Soybean,SoybeanGDD,10.1,Non-Irrigated
1420,2013,Graham,Soybean,SoybeanGDD,6.8,Non-Irrigated
1421,2014,Graham,Soybean,SoybeanGDD,22.8,Non-Irrigated
1422,2015,Graham,Soybean,SoybeanGDD,20.7,Non-Irrigated
1423,2016,Graham,Soybean,SoybeanGDD,34.2,Non-Irrigated
1424,2017,Graham,Soybean,SoybeanGDD,34,Non-Irrigated
1425,2018,Graham,Soybean,SoybeanGDD,51.7,Non-Irrigated
1426,2019,Graham,Soybean,SoybeanGDD,41.8,Non-Irrigated
1427,2020,Graham,Soybean,SoybeanGDD,27.9,Non-Irrigated
1428,2000,Logan,Soybean,SoybeanGDD,37.3,Irrigated
1429,2001,Logan,Soybean,SoybeanGDD,51.1,Irrigated
1430,2002,Logan,Soybean,SoybeanGDD,34.3,Irrigated
1431,2003,Logan,Soybean,SoybeanGDD,48.9,Irrigated
1432,2004,Logan,Soybean,SoybeanGDD,42.4,Irrigated
1433,2005,Logan,Soybean,SoybeanGDD,56.1,Irrigated
1434,2006,Logan,Soybean,SoybeanGDD,54.9,Irrigated
1435,2007,Logan,Soybean,SoybeanGDD,61.9,Irrigated
1436,2008,Logan,Soybean,SoybeanGDD,52.2,Irrigated
1437,2009,Logan,Soybean,SoybeanGDD,49.1,Irrigated
1438,2010,Logan,Soybean,SoybeanGDD,55.3,Irrigated
1439,2011,Logan,Soybean,SoybeanGDD,57.3,Irrigated
1440,2012,Logan,Soybean,SoybeanGDD,50.9,Irrigated
1441,2013,Logan,Soybean,SoybeanGDD,45.8,Irrigated
1442,2014,Logan,Soybean,SoybeanGDD,51.6,Irrigated
1443,2015,Logan,Soybean,SoybeanGDD,60.3,Irrigated
1444,2016,Logan,Soybean,SoybeanGDD,56.1,Irrigated
1445,2017,Logan,Soybean,SoybeanGDD,49.1,Irrigated
1446,2018,Logan,Soybean,SoybeanGDD,28.1,Irrigated
1447,2019,Logan,Soybean,SoybeanGDD,55.4,Irrigated
1448,2020,Logan,Soybean,SoybeanGDD,49.5,Irrigated
1449,2000,Logan,Soybean,SoybeanGDD,37.3,Irrigated
1450,2001,Logan,Soybean,SoybeanGDD,51.1,Irrigated
1451,2002,Logan,Soybean,SoybeanGDD,34.3,Irrigated
1452,2003,Logan,Soybean,SoybeanGDD,48.9,Irrigated
1453,2004,Logan,Soybean,SoybeanGDD,42.4,Irrigated
1454,2005,Logan,Soybean,SoybeanGDD,56.1,Irrigated
1455,2006,Logan,Soybean,SoybeanGDD,54.9,Irrigated
1456,2007,Logan,Soybean,SoybeanGDD,61.9,Irrigated
1457,2008,Logan,Soybean,SoybeanGDD,52.2,Irrigated
1458,2009,Logan,Soybean,SoybeanGDD,49.1,Irrigated
1459,2010,Logan,Soybean,SoybeanGDD,55.3,Irrigated
1460,2011,Logan,Soybean,SoybeanGDD,57.3,Irrigated
1461,2012,Logan,Soybean,SoybeanGDD,50.9,Irrigated
1462,2013,Logan,Soybean,SoybeanGDD,45.8,Irrigated
1463,2014,Logan,Soybean,SoybeanGDD,51.6,Irrigated
