,Unnamed: 0,Crop,yield_m,yield_c,irrig_m,irrig_c
0,0,SorghumGDD,6.2488,-0.8968,149.6325,-0.7738
0,0,MaizeGDD,9.7452,-0.7521,217.9427,-0.6963
